ID,KR,EN,JA,CN
opening_1,20살 생일.,My twentieth birthday.,20歳の誕生日。,二十岁的生日。
opening_2,"그날, 갑작스러운 사고로","That day, because of a sudden accident,",あの日、突然の事故で,那一天，因为一场突如其来的事故——
opening_3,부모님이 돌아가셨다.,My parents passed away.,両親が亡くなった。,父母去世了。
opening_4,마치 준비해 둔 것처럼—,As if it had all been prepared in advance—,まるで最初から用意されていたかのように――,仿佛一切都早已准备好一般——
opening_5,한 장의 유서가 남겨져 있었다.,A single suicide note had been left behind.,一通の遺書が残されていた。,留下了一封遗书。
opening_6,어릴 적 죽어가던 나를,"When I was young, as I lay dying,",幼い頃、死にかけていた私を,小时候濒临死亡的我
opening_7,성물의 힘으로 살려냈고—,they saved my life using the power of a sacred relic—,聖遺物の力で救い出し――,以圣物的力量救活了我——
opening_8,"나를 살리기 위해,","To save me,",私を生かすために、,为了救我，
opening_9,계속해서 성물을 훔쳐왔다는 사실.,they had continued to steal sacred relics.,ずっと聖遺物を盗み続けていたこと。,他们一直在偷取圣物这件事。
opening_10,"그리고 마지막으로,","And finally,",そして最後に、,最后，
opening_11,내가 계속 살아가기 위해서는—,for me to keep living—,私が生き続けるためには――,如果我想继续活下去——
opening_12,"신들의 성물을 훔쳐,","I would have to steal the sacred relics of the gods,",神々の聖遺物を盗み、,偷取众神的圣物，
opening_13,그 안에 담긴 신력을 흡수해야만 한다는 말.,and absorb the divine power contained within them.,その中に宿る神力を吸収しなければならないということ。,并吸收其中蕴含的神力。
opening_14,"편지를 읽는 순간,","The moment I finished reading the letter,",手紙を読んだ瞬間、,读完那封信的瞬间，
opening_15,죄책감이 밀려왔다.,a wave of guilt washed over me.,罪悪感が押し寄せてきた。,一股罪恶感涌上心头。
opening_16,하지만—,But—,だが――,但是——
opening_17,죽고 싶지 않았다.,I didn't want to die.,死にたくなかった。,我不想死。
opening_18,"그날 이후,","From that day on,",あの日から、,从那天起，
opening_19,나는 떠돌며 살아간다.,"I wander from place to place, surviving.",私は流浪しながら生きている。,我四处漂泊地活着。
opening_20,신들의 물건을 훔치면서.,Stealing from the gods.,神々のものを盗みながら。,一边偷取众神之物。
opening_21,훔치지 않으면—,If I don't steal—,盗まなければ――,如果不去偷取——
opening_22,"나는, 죽는다.",I die.,私は、死ぬ。,我会死。
story_1,“...하아...하아...”,“...Haa... haa...”,「……はぁ……はぁ……」,“……哈啊……哈啊……”
story_2,이 주변은 이미 전부 털었다.,I've already cleaned out everything around here.,この辺りはもう全部さらった。,这附近已经被我搜刮干净了。
story_3,“남은 곳은... 없는 건가...”,“Are there... no places left...?”,「もう……残っている場所は……ないのか……」,“已经……没有剩下的地方了吗……”
story_4,숨이 점점 가빠진다.,My breathing grows heavier.,息がだんだん荒くなっていく。,呼吸渐渐变得急促起来。
story_5,"몸이 무거워지기 시작하고, 한계가 가까워지고 있다.","My body is growing heavier, and my limit is drawing near.",体が重くなり始め、限界が近づいている。,身体开始变得沉重，极限也正在逼近。
story_6,이를 악물고 풀숲을 헤치며 나는 더 깊숙이 들어갔다.,"Gritting my teeth, I pushed through the undergrowth and went deeper.",歯を食いしばり、草むらをかき分けながら、私はさらに奥へと進んだ。,我咬紧牙关，拨开草丛，继续向更深处走去。
